Decade,Total Faces,Percentage Pages with Faces
1790,3,15.0
1800,10,27.77777777777778
1810,2,7.6923076923076925
1820,1,3.125
1830,2,5.555555555555555
1840,0,0.0
1850,2,8.333333333333332
1860,1,4.166666666666666
1870,1,4.166666666666666
1880,1,4.166666666666666
1890,1,3.8461538461538463
1900,4,14.285714285714285
1910,4,13.333333333333334
1920,8,28.57142857142857
1930,8,28.57142857142857
1940,10,26.31578947368421
1950,8,16.666666666666664
1960,25,27.77777777777778
1970,14,17.94871794871795
1980,60,44.11764705882353
1990,115,55.28846153846154
